Region,Year,REG_ID,    Labour Force with Elementary Education (ISCED 0-2),    Labour Force with Secondary education (ISCED 3-4),    Labour Force with Tertiary education (ISCED 5-8),    Labour Force with Unknown Educational Level,    R&D Employment in Full-Time Equivalent by the Business Sector,    R&D Employment in Full-Time Equivalent by the Government Sector,    R&D Employment in Full-Time Equivalent by the Higher Education Sector,    R&D Employment in Full-Time Equivalent by the Private and Non-Profit Sector,"    R&D Expenditures Performed by the Business Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Business Sector (millions of current national currency),"    R&D Expenditures Performed by the Government Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Government Sector (millions of current national currency),"    R&D Expenditures Performed by the Higher Education Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Higher Education Sector (millions of current national currency),"    R&D Expenditures Performed by the Private and Non-Profit Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Private and Non-Profit Sector (millions of current national currency),    R&D Female Employed by the Business Sector Rate (in % of Female employment),    R&D Female Employed by the Government Sector Rate (in % of Female employment),    R&D Female Employed by the Higher Education Sector Rate (in % of Female employment),    R&D Female Employed by the Private and Non-Profit Sector Rate (in % of Female employment),    R&D Female Personnel Employed by the Business Sector,    R&D Female Personnel Employed by the Government Sector,    R&D Female Personnel Employed by the Higher Education Sector,    R&D Female Personnel Employed by the Private and Non-Profit Sector,    R&D Personnel Employed by the Business Sector,    R&D Personnel Employed by the Business Sector Rate (in % of total employment),    R&D Personnel Employed by the Government Sector,    R&D Personnel Employed by the Government Sector Rate (in % of total employment),    R&D Personnel Employed by the Higher Education Sector,    R&D Personnel Employed by the Higher Education Sector Rate (in % of total employment),    R&D Personnel Employed by the Private and Non-Profit Sector,    R&D Personnel Employed by the Private and Non-Profit Sector Rate (in % of total employment),    Share of R&D Expenditures Performed by the Business Sector (in % of GDP),    Share of R&D Expenditures Performed by the Government Sector (in % of GDP),    Share of R&D Expenditures Performed by the Higher Education Sector (in % of GDP),    Share of R&D Expenditures Performed by the Private and Non-Profit Sector (in % of GDP),"    Share of R&D Female Employed by the Government Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Employed by the Higher Education Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Employed by the Private and Non-Profit Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Personnel Employed by the Business Sector (in % of total R&D personnel, same sector)",    Student Enrolment at Elementary Level (ISCED 0-2),    Student Enrolment at Elementary Level Rate (in % of population),    Student Enrolment at Secondary Level (ISCED 3-4),    Student Enrolment at Secondary Level Rate (in % of population),    Student Enrolment at Tertiary Level (ISCED 5-6),    Student Enrolment at Tertiary Level Rate (in % of population),Employment in high-technology manufacturing,Employment in knowledge-intensive services,"Employment rate for 25 to 64 year-olds, below upper secondary education","Employment rate for 25 to 64 year-olds, with tertiary education","Employment rate for 25 to 64 year-olds, with upper secondary and post-secondary non-tertiary education",Labour Force Total,"PCT Patent Applications, count (fractional count; by inventor place of residence and priority year)","PCT co-patent applications, all count (total count; by inventor and priority year)",PCT patent applications in ICT - count,PCT patent applications in biotech - count,PCT patent applications in medical - count,PCT patent applications in nanotech - count,PCT patent applications in pharmaceuticals - count,PCT patent applications per million inhabitants (fractional count; by inventor and priority year) - level,R&D Female Personnel Rate (in % of Female employment),R&D Total Employment in Full-Time Equivalent,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",R&D Total Expenditure (millions of current national currency),R&D Total Female Personnel,R&D Total Personnel,R&D Total Personnel Rate (in % of total employment),Share of Labour Force with Elementary Education (in % of labour force),Share of Labour Force with Secondary Education (in % of labour force),Share of Labour Force with Tertiary Education (in % of labour force),Share of R&D Female in R&D Total Personnel,Share of R&D Total Expenditure (in % of GDP),Share of employment in high-technology manufacturing (in % of total employment),Share of employment in knowledge-intensive services (as a share of total employment),Share of population 25 to 64 year-olds with tertiary education ,"Share of population 25 to 64 year-olds, below upper secondary education","Share of population 25 to 64 year-olds, with upper secondary and post-secondary non-tertiary education",Student Enrolment Total,"Total employment, all activities"
EU-28,2012,EU28,53469400.0,116156000.0,71340200.0,760500.0,1419950.0,366243.0,863777.0,27550.0,,,,,,,,,,0.21,0.79,0.02,,211884.0,776504.0,18707.0,,,456387.0,0.21,1739620.0,0.8,37626.0,0.02,,,,,46.43,44.64,49.72,,,,,,20245900.0,4.0,2344000.0,84844700.0,,,,241726000.0,,,,,,,,,,2677520.0,,,,,,22.2,48.2,29.6,,,1.09,39.31,27.7,25.8,46.5,108893000.0,215852000.0
EU-28,2013,EU28,51427500.0,116286000.0,73757500.0,921100.0,1452870.0,368954.0,876287.0,22494.0,,,,,,,,,0.43,0.22,0.8,0.02,429734.0,214078.0,791988.0,15407.0,1903720.0,0.88,462383.0,0.21,1764450.0,0.82,30410.0,0.01,,,,,46.3,44.89,50.66,22.57,,,,,,,2351200.0,84991500.0,,,,242392000.0,,,,,,,,,1.47,2720600.0,,,1451210.0,4160960.0,1.93,21.3,48.2,30.5,34.88,,1.09,39.44,28.6,24.8,46.6,,215521000.0
EU-28,2014,EU28,49862100.0,116856000.0,75775900.0,806900.0,1500340.0,370827.0,888982.0,23449.0,,,,,,,,,,0.22,0.8,0.02,,217983.0,802585.0,16579.0,,,470074.0,0.22,1775600.0,0.81,31920.0,0.01,,,,,46.37,45.2,51.94,,,,,,,,2347100.0,86538600.0,,,,243301000.0,,,,,,,,,,2783600.0,,,,,,20.6,48.2,31.2,,,1.08,39.73,29.3,24.1,46.6,,217815000.0
EU-28,2015,EU28,48533300.0,116521000.0,77965100.0,865300.0,1577010.0,373882.0,907422.0,25134.0,,,,,,,,,0.46,0.23,0.81,0.02,469186.0,229565.0,821773.0,17572.0,2070470.0,0.94,487962.0,0.22,1803190.0,0.82,33330.0,0.02,,,,,47.05,45.57,52.72,22.66,,,,,,,2363300.0,87998700.0,,,,243885000.0,,,,,,,,,1.52,2883450.0,,,1541760.0,4390020.0,1.99,20.0,47.9,32.1,35.12,,1.07,39.94,30.1,23.5,46.5,,220355000.0
EU-28,2016,EU28,47932900.0,116737000.0,80048600.0,571100.0,1658270.0,356800.0,916721.0,26485.0,,,,,,,,,,0.22,0.8,0.02,,225396.0,825889.0,18626.0,,,474692.0,0.21,1804080.0,0.8,35284.0,0.02,,,,,47.48,45.78,52.79,,,,,,,,2403200.0,89551600.0,,,,245290000.0,,,,,,,,,,2957810.0,,,,,,19.6,47.7,32.7,,,1.07,40.03,30.7,23.0,46.2,,223695000.0
EU-28,2017,EU28,47218900.0,116672000.0,81966400.0,620100.0,1786370.0,363415.0,,27742.0,,,,,,,,,0.53,0.22,,0.02,552269.0,233274.0,,19156.0,2411180.0,1.06,487999.0,0.21,,,37268.0,0.02,,,,,47.8,,51.4,22.9,,,,,,,2416000.0,90911900.0,,,,246477000.0,,,,,,,,,1.59,3125940.0,,,1666200.0,4783510.0,2.1,19.2,47.5,33.3,34.83,,1.06,40.05,31.5,22.5,46.1,,227020000.0
EU-28,2018,EU28,,,,,1934050.0,368493.0,,28491.0,,,,,,,,,,0.22,,,,235752.0,,,,,494813.0,0.21,,,,,,,,,47.64,,,,,,,,,,2440700.0,92496100.0,,,,,,,,,,,,,,3302710.0,,,,,,,,,,,1.06,40.27,32.3,21.9,45.8,,229715000.0
EU-28,2019,EU28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500200.0,94324500.0,,,,,,,,,,,,,,,,,,,,,,,,,1.08,40.65,33.2,21.3,45.5,,232022000.0
Estonia,2000,EST,82300.0,394200.0,199900.0,,,,,,33.19,8.334,34.11,8.564,65.55,19.41,2.88,0.722,0.13,0.24,0.74,0.01,386.0,692.0,2161.0,40.0,910.0,0.16,1118.0,0.19,4442.0,0.76,61.0,0.01,0.13,0.14,0.31,0.01,61.9,48.65,65.57,42.42,237211.0,17.0,64619.0,4.6,53613.0,3.8,,,,,,676400.0,14.25,,4.75,3.3333,,0.1667,1.3333,10.2,1.12,,147.48,37.03,3279.0,6531.0,1.11,12.2,58.3,29.6,50.21,0.6,,,28.7,14.2,57.1,355443.0,
Estonia,2001,EST,80200.0,387500.0,202600.0,,,,,,61.2,16.406,25.65,6.877,78.31,24.657,3.19,0.856,0.14,0.22,0.82,0.02,398.0,613.0,2326.0,46.0,1153.0,0.2,945.0,0.16,4647.0,0.8,73.0,0.01,0.23,0.1,0.35,0.01,64.87,50.05,63.01,34.52,233072.0,16.8,67547.0,4.9,57778.0,4.2,,,,,,670200.0,12.8905,,1.6667,7.0334,2.0,0.8571,3.1667,9.3,1.19,,182.02,48.797,3383.0,6818.0,1.17,12.0,57.8,30.2,49.62,0.7,,,29.6,13.5,57.0,358397.0,
Estonia,2002,EST,73500.0,383100.0,197400.0,,,,,,60.78,17.077,33.64,9.453,80.62,26.664,8.92,2.505,0.12,0.22,0.8,0.02,355.0,642.0,2335.0,54.0,1164.0,0.2,980.0,0.17,4694.0,0.8,83.0,0.01,0.22,0.12,0.34,0.03,65.51,49.74,65.06,30.5,225442.0,16.3,68999.0,5.0,60648.0,4.4,,,,,,654000.0,10.5,,4.5,2.8,2.0,1.0,2.8,7.6,1.16,,198.23,55.699,3386.0,6921.0,1.18,11.2,58.6,30.2,48.92,0.71,,,29.4,13.0,57.6,355089.0,
Estonia,2003,EST,76800.0,395000.0,200300.0,,,,,,77.61,22.657,36.1,10.539,91.6,31.598,7.09,2.071,0.17,0.25,0.84,0.03,509.0,737.0,2466.0,75.0,1529.0,0.26,1145.0,0.19,4813.0,0.81,113.0,0.02,0.26,0.12,0.36,0.02,64.37,51.24,66.37,33.29,219140.0,16.0,68011.0,5.0,63625.0,4.6,,,,,,672100.0,17.2167,,7.55,1.3334,1.3333,0.0,1.0,12.5,1.29,,229.04,66.864,3787.0,7600.0,1.27,11.4,58.8,29.8,49.83,0.76,,,29.8,12.1,58.1,350776.0,
Estonia,2004,EST,79400.0,375900.0,217700.0,,,,,,105.45,32.224,35.89,10.967,103.98,37.612,6.21,1.898,0.17,0.23,0.83,0.03,517.0,704.0,2510.0,103.0,1735.0,0.29,1099.0,0.18,4894.0,0.81,154.0,0.03,0.33,0.11,0.39,0.02,64.06,51.29,66.88,29.8,212627.0,15.6,68892.0,5.1,65659.0,4.8,,,,,,673100.0,17.0166,,8.6833,1.75,1.0,0.0,0.3333,12.5,1.27,,270.64,82.702,3834.0,7882.0,1.3,11.8,55.8,32.3,48.64,0.85,,,30.9,11.4,57.6,347178.0,
Estonia,2005,EST,67900.0,370900.0,230500.0,,1398.0,696.0,2176.0,92.0,144.91,46.898,36.28,11.741,112.32,43.096,7.07,2.288,0.22,0.2,0.73,0.02,694.0,634.0,2278.0,69.0,2249.0,0.37,991.0,0.16,4591.0,0.75,124.0,0.02,0.41,0.1,0.38,0.02,63.98,49.62,55.65,30.86,204923.0,15.1,71714.0,5.3,67760.0,5.0,,,,,,669300.0,10.9575,,7.5,2.3667,1.0,0.0,0.3667,8.1,1.18,4362.0,321.42,104.023,3675.0,7955.0,1.29,10.1,55.4,34.4,46.2,0.92,,,33.2,11.0,55.8,344397.0,
Estonia,2006,EST,75200.0,380600.0,237000.0,,1631.0,714.0,2290.0,106.0,190.16,67.094,56.19,19.825,146.81,61.33,7.77,2.742,0.25,0.21,0.76,0.03,800.0,680.0,2459.0,102.0,2586.0,0.4,1080.0,0.17,4949.0,0.76,177.0,0.03,0.49,0.15,0.45,0.02,62.96,49.69,57.63,30.94,186026.0,13.8,71134.0,5.3,68287.0,5.1,,,,,,692700.0,32.3291,,12.65,9.7719,1.8571,0.0,4.6666,23.9,1.25,4741.0,427.93,150.991,4041.0,8792.0,1.35,10.9,54.9,34.2,45.96,1.11,,,33.2,11.5,55.2,325447.0,
Estonia,2007,EST,72000.0,384200.0,233000.0,,1689.0,782.0,2406.0,125.0,206.42,81.877,37.91,15.038,155.81,72.585,10.46,4.148,0.28,0.21,0.82,0.03,907.0,679.0,2638.0,111.0,2686.0,0.41,1097.0,0.17,5303.0,0.81,190.0,0.03,0.5,0.09,0.45,0.03,61.9,49.75,58.42,33.77,176954.0,13.2,70119.0,5.2,68767.0,5.1,,,,,,689200.0,46.4167,,26.7833,11.6333,2.0,1.0,4.6667,34.6,1.34,5002.0,437.79,173.648,4335.0,9276.0,1.41,10.4,55.7,33.8,46.73,1.06,,,33.3,10.9,55.8,315840.0,
Estonia,2008,EST,76500.0,381700.0,235700.0,,1845.0,747.0,2389.0,105.0,211.97,89.879,57.76,24.491,178.4,89.336,10.22,4.333,0.3,0.22,0.83,0.03,962.0,696.0,2662.0,83.0,3023.0,0.46,1108.0,0.17,5338.0,0.81,152.0,0.02,0.54,0.15,0.54,0.03,62.82,49.87,54.61,31.82,172128.0,12.9,66258.0,5.0,68168.0,5.1,7000.0,205200.0,,,,693900.0,44.8865,,20.9762,6.7436,2.0,,6.7436,33.5,1.37,5086.0,490.64,208.039,4403.0,9621.0,1.47,11.0,55.0,34.0,45.76,1.25,1.07,31.28,34.2,11.6,54.2,306554.0,656000.0
Estonia,2009,EST,71100.0,368900.0,246700.0,,1924.0,718.0,2688.0,100.0,208.39,88.207,51.23,21.685,165.48,83.219,10.12,4.282,0.32,0.23,0.93,0.03,974.0,692.0,2800.0,99.0,3122.0,0.53,1072.0,0.18,5543.0,0.93,167.0,0.03,0.62,0.15,0.59,0.03,64.55,50.51,59.28,31.2,168915.0,12.7,63649.0,4.8,68399.0,5.1,7400.0,208200.0,,,,687000.0,49.3209,,24.2501,4.4666,3.0,,1.8542,36.9,1.51,5430.0,466.35,197.393,4565.0,9904.0,1.67,10.3,53.7,35.9,46.09,1.39,1.25,35.06,36.1,11.2,52.7,300963.0,593900.0
Estonia,2010,EST,65800.0,373600.0,242300.0,,1955.0,772.0,2465.0,85.0,270.91,116.763,56.99,24.561,173.04,88.533,6.74,2.903,0.35,0.24,1.0,0.03,1014.0,697.0,2902.0,78.0,3183.0,0.56,1090.0,0.19,5669.0,1.0,132.0,0.02,0.79,0.17,0.6,0.02,63.94,51.19,59.09,31.86,163138.0,12.3,63033.0,4.7,68985.0,5.2,6800.0,200600.0,,,,681900.0,49.6999,,21.0,3.05,6.95,2.0,1.0,37.3,1.62,5277.0,540.04,232.76,4691.0,10074.0,1.77,9.6,54.8,35.5,46.57,1.57,1.2,35.32,35.5,10.7,53.8,295156.0,568000.0
Estonia,2011,EST,69800.0,367700.0,250200.0,,2121.0,776.0,2735.0,92.0,534.64,242.845,68.46,31.097,198.69,107.007,7.7,3.498,0.37,0.23,0.97,0.03,1103.0,697.0,2925.0,80.0,3195.0,0.53,1089.0,0.18,5713.0,0.95,134.0,0.02,1.44,0.18,0.64,0.02,64.0,51.2,59.7,34.52,162874.0,12.3,60957.0,4.6,69113.0,5.2,9200.0,206800.0,,,,688000.0,39.9381,,16.8333,6.6191,1.0,,1.2858,30.0,1.6,5724.0,846.39,384.447,4805.0,10131.0,1.68,10.1,53.4,36.4,47.43,2.28,1.53,34.28,36.9,10.9,52.1,292944.0,603200.0
Estonia,2012,EST,64900.0,360600.0,257600.0,,1988.0,774.0,3000.0,93.0,463.49,218.997,74.84,35.363,220.17,122.322,8.49,4.012,0.3,0.24,1.02,0.03,905.0,732.0,3108.0,95.0,2856.0,0.46,1120.0,0.18,6076.0,0.99,153.0,0.02,1.21,0.2,0.68,0.02,65.36,51.15,62.09,31.69,164619.0,12.4,57708.0,4.4,67607.0,5.1,7200.0,215400.0,,,,683400.0,17.1666,,5.6666,3.75,1.0,1.0,2.0,13.0,1.58,5855.0,805.72,380.695,4840.0,10205.0,1.66,9.5,52.8,37.7,47.43,2.11,1.17,35.03,37.6,10.0,52.3,289934.0,614900.0
Estonia,2013,EST,60900.0,361600.0,257200.0,,2069.0,851.0,2850.0,88.0,316.52,155.6,59.23,29.117,239.74,137.927,7.01,3.444,0.28,0.24,1.05,0.03,870.0,724.0,3221.0,80.0,2767.0,0.45,1140.0,0.18,6247.0,1.01,130.0,0.02,0.82,0.15,0.73,0.02,63.51,51.56,61.54,31.44,179624.0,13.6,54527.0,4.1,61762.0,4.7,7400.0,220300.0,,,,680000.0,33.0651,,21.9762,3.4223,3.0,,2.2,25.0,1.6,5858.0,663.24,326.045,4895.0,10284.0,1.66,9.0,53.2,37.8,47.6,1.71,1.19,35.46,37.4,9.4,53.2,,621300.0
Estonia,2014,EST,74500.0,340300.0,259500.0,,1798.0,800.0,3103.0,96.0,246.65,124.829,62.21,31.482,217.54,127.001,6.77,3.424,0.31,0.23,1.09,0.03,930.0,690.0,3309.0,77.0,2930.0,0.47,1085.0,0.17,6342.0,1.02,135.0,0.02,0.62,0.16,0.64,0.02,63.59,52.18,57.04,31.74,182665.0,13.9,52185.0,4.0,57016.0,4.3,6100.0,225500.0,,,,674400.0,36.5001,,11.525,1.4833,2.5,,2.3166,27.7,1.64,5790.0,566.57,286.736,5006.0,10492.0,1.68,11.0,50.5,38.5,47.71,1.42,0.98,36.09,37.6,11.8,50.6,,624800.0
Estonia,2015,EST,70200.0,346000.0,266900.0,,1694.0,782.0,3062.0,98.0,272.49,139.45,63.92,32.71,211.85,125.22,10.63,5.44,0.25,0.23,1.0,0.02,779.0,717.0,3130.0,72.0,2657.0,0.41,1095.0,0.17,6001.0,0.94,136.0,0.02,0.67,0.16,0.62,0.03,65.48,52.16,52.94,29.32,,,,,,,7000.0,229200.0,,,,683100.0,24.6485,,6.8333,2.1429,1.0,,0.1429,18.7,1.5,5636.0,591.73,302.82,4698.0,9889.0,1.54,10.3,50.7,39.1,47.51,1.46,1.09,35.76,38.1,11.3,50.5,,640900.0
Estonia,2016,EST,72200.0,350400.0,268700.0,,1855.0,841.0,2969.0,107.0,267.45,139.21,59.37,30.9,,96.05,8.01,4.17,0.24,0.2,0.92,0.03,742.0,615.0,2915.0,86.0,2542.0,0.39,959.0,0.15,5577.0,0.87,156.0,0.02,0.64,0.14,,0.02,64.13,52.27,55.13,29.19,,,,,,,7200.0,230900.0,,,,691400.0,,,,,,,,,1.38,5772.0,519.38,270.34,4358.0,9234.0,1.43,10.4,50.7,38.9,47.2,1.25,1.12,35.82,38.9,10.9,50.2,,644600.0
Estonia,2017,EST,75600.0,347400.0,275900.0,,2086.0,847.0,,99.0,266.24,143.62,66.36,35.8,,,7.97,4.3,0.25,0.19,,0.02,817.0,619.0,,77.0,2896.0,0.44,970.0,0.15,,,137.0,0.02,0.6,0.15,,0.02,63.81,,56.2,28.21,,,,,,,7000.0,233600.0,,,,698800.0,,,,,,,,,1.38,6048.0,564.13,304.32,4420.0,9593.0,1.46,10.8,49.7,39.5,46.08,1.28,1.06,35.47,39.7,11.2,49.1,,658600.0
Estonia,2018,EST,,,,,2150.0,680.0,,121.0,274.6,154.84,74.13,41.8,,,10.91,6.15,0.27,0.17,,0.03,883.0,545.0,,90.0,2879.0,0.43,813.0,0.12,,,145.0,0.02,0.59,0.16,,0.02,67.04,,62.07,30.67,,,,,,,8100.0,243300.0,,,,,,,,,,,,,1.38,6183.0,648.44,365.64,4452.0,9479.0,1.43,,,,46.97,1.4,1.22,36.6,41.2,10.8,48.1,,664700.0
Estonia,2019,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,253200.0,,,,,,,,,,,,,,,,,,,,,,,,,1.04,37.72,41.4,9.8,48.7,,671300.0
Euro Area (19 countries),2000,EA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19069.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,39.3,40.9,,
Euro Area (19 countries),2001,EA19,,,,,,,,,,,,,,,,,0.32,,,0.02,181028.0,,,8798.0,893389.0,0.67,,,,,18838.0,0.01,,,,,,,46.7,20.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,38.9,41.2,,
Euro Area (19 countries),2002,EA19,,,,,,,,,,,,,,,,,,,,0.02,,,,11294.0,,,,,,,23909.0,0.02,,,,,,,47.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,38.0,41.8,,
Euro Area (19 countries),2003,EA19,,,,,,,,,,,,,,,,,0.33,0.2,0.6,0.02,194567.0,119526.0,355126.0,10935.0,923491.0,0.67,280687.0,0.21,879566.0,0.64,21874.0,0.02,,,,,42.58,40.38,49.99,21.07,,,,,,,,,,,,,,,,,,,,,1.15,,,,680154.0,2105620.0,1.54,,,,32.3,,,,21.2,36.9,41.9,,
Euro Area (19 countries),2004,EA19,,,,,,,,,,,,,,,,,,0.21,0.62,0.02,,125828.0,366605.0,11448.0,,,286775.0,0.21,897265.0,0.65,22620.0,0.02,,,,,43.88,40.86,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,35.7,42.1,,
Euro Area (19 countries),2005,EA19,46545900.0,68989600.0,37860500.0,807300.0,835029.0,238975.0,463297.0,16529.0,,,,,,,,,0.34,0.21,0.64,0.02,207804.0,129498.0,389181.0,12413.0,976088.0,0.7,298406.0,0.21,930079.0,0.66,24581.0,0.02,,,,,43.4,41.84,50.5,21.29,,,,,,,,,,,,154203000.0,,,,,,,,,1.21,1553830.0,,,738896.0,2229150.0,1.59,30.3,45.0,24.7,33.15,,,,22.8,34.7,42.5,,
Euro Area (19 countries),2006,EA19,46489500.0,70101200.0,38599200.0,868600.0,884184.0,248785.0,479762.0,20119.0,,,,,,,,,,0.22,0.66,0.02,,136977.0,410654.0,14326.0,,,308267.0,0.22,967179.0,0.68,27780.0,0.02,,,,,44.43,42.46,51.57,,,,,,,,,,,,,156059000.0,,,,,,,,,,1632850.0,,,,,,30.0,45.2,24.9,,,,,23.0,34.2,42.8,,
Euro Area (19 countries),2007,EA19,46094900.0,71484800.0,39960700.0,184300.0,923809.0,254595.0,499148.0,20061.0,,,,,,,,,0.38,0.22,0.67,0.02,243730.0,141180.0,430890.0,14839.0,1111260.0,0.76,313219.0,0.21,992230.0,0.68,28369.0,0.02,,,,,45.07,43.43,52.31,21.93,,,,,,,,,,,,157725000.0,,,,,,,,,1.29,1697610.0,,,830638.0,2445080.0,1.68,29.3,45.4,25.4,33.97,,,,23.6,33.3,43.1,,
Euro Area (19 countries),2008,EA19,45369800.0,72181900.0,41513900.0,284100.0,964227.0,262265.0,526071.0,20189.0,,,,,,,,,,0.23,0.7,0.02,,147365.0,457078.0,15230.0,,,324296.0,0.22,1048530.0,0.71,28662.0,0.02,,,,,45.44,43.59,53.14,,,,,,,,1688700.0,54478500.0,,,,159350000.0,,,,,,,,,,1772750.0,,,,,,28.5,45.4,26.1,,,1.15,37.1,24.3,32.5,43.2,,146844000.0
Euro Area (19 countries),2009,EA19,44463100.0,72063900.0,42901700.0,261900.0,960901.0,270079.0,543581.0,21146.0,,,,,,,,,0.4,0.23,0.73,0.02,259712.0,151198.0,473850.0,15351.0,1184940.0,0.82,332621.0,0.23,1076950.0,0.75,28776.0,0.02,,,,,45.46,44.0,53.35,21.92,,,,,,,1659500.0,54865800.0,,,,159691000.0,,,,,,,,,1.39,1795710.0,,,900110.0,2623280.0,1.82,27.9,45.2,26.9,34.31,,1.15,38.13,25.1,31.9,43.0,,143883000.0
Euro Area (19 countries),2010,EA19,43221100.0,71860400.0,43635300.0,201800.0,989666.0,272775.0,555410.0,20011.0,,,,,,,,,,0.23,0.74,0.02,,151028.0,479169.0,14086.0,,,333724.0,0.23,1099870.0,0.77,28835.0,0.02,,,,,45.26,43.57,48.85,,,,,,,,1597800.0,55350700.0,,,,158919000.0,,,,,,,,,,1837860.0,,,,,,27.2,45.3,27.5,,,1.12,38.87,25.7,31.2,43.1,,142382000.0
Euro Area (19 countries),2011,EA19,41935800.0,71938100.0,44965800.0,291900.0,1039950.0,274949.0,553519.0,20045.0,,,,,,,,,0.46,0.24,0.75,0.02,295757.0,155239.0,486799.0,14459.0,1363620.0,0.95,339335.0,0.24,1106680.0,0.77,28444.0,0.02,,,,,45.75,43.99,50.83,21.69,,,,,,,1594300.0,55929800.0,,,,159132000.0,,,,,,,,,1.47,1888460.0,,,952254.0,2838070.0,1.99,26.4,45.3,28.3,33.55,,1.12,39.23,26.4,30.4,43.2,,142563000.0
Euro Area (19 countries),2012,EA19,41153400.0,72283800.0,46577800.0,276900.0,1074290.0,279035.0,563538.0,20124.0,,,,,,,,,,0.25,0.77,0.02,,160435.0,499265.0,14413.0,,,346354.0,0.24,1124720.0,0.79,28343.0,0.02,,,,,46.32,44.39,50.85,,,,,,,,1552400.0,56065700.0,,,,160292000.0,,,,,,,,,,1936990.0,,,,,,25.7,45.2,29.1,,,1.1,39.56,27.2,29.6,43.2,,141711000.0
Euro Area (19 countries),2013,EA19,39465200.0,72755200.0,47977600.0,380400.0,1080980.0,280878.0,572230.0,16077.0,,,,,,,,,0.48,0.25,0.79,0.02,313386.0,161820.0,510571.0,11719.0,1435720.0,1.02,349748.0,0.25,1144650.0,0.81,22225.0,0.02,,,,,46.27,44.6,52.73,21.83,,,,,,,1580400.0,55730400.0,,,,160578000.0,,,,,,,,,1.54,1950170.0,,,997497.0,2952340.0,2.09,24.6,45.4,29.9,33.79,,1.12,39.53,28.0,28.5,43.5,,140979000.0
Euro Area (19 countries),2014,EA19,37899900.0,73685900.0,48985200.0,300900.0,1102340.0,283347.0,575613.0,17299.0,,,,,,,,,,0.25,0.79,0.02,,164727.0,519563.0,12595.0,,,356967.0,0.25,1144080.0,0.8,23584.0,0.02,,,,,46.15,45.41,53.4,,,,,,,,1563700.0,56630700.0,,,,160872000.0,,,,,,,,,,1978600.0,,,,,,23.6,45.9,30.5,,,1.1,39.94,28.6,27.4,44.0,,141801000.0
Euro Area (19 countries),2015,EA19,37061500.0,73574100.0,50220200.0,327900.0,1154500.0,286434.0,590272.0,17592.0,,,,,,,,,0.51,0.26,0.8,,337124.0,174198.0,530280.0,,1532600.0,1.07,372720.0,0.26,1165660.0,0.81,,,,,,,46.74,45.49,,22.0,,,,,,,1593000.0,57417200.0,,,,161184000.0,,,,,,,,,1.6,2048800.0,,,1058180.0,3090020.0,2.15,23.0,45.7,31.2,34.25,,1.11,40.06,29.3,26.8,44.0,,143321000.0
Euro Area (19 countries),2016,EA19,36544000.0,73985900.0,51564300.0,394300.0,1206590.0,288269.0,592033.0,18362.0,,,,,,,,,,0.26,0.78,0.02,,177566.0,524406.0,13457.0,,,380205.0,0.26,1148570.0,0.79,25073.0,0.02,,,,,46.7,45.66,53.67,,,,,,,,1612100.0,58554500.0,,,,162488000.0,,,,,,,,,,2104790.0,,,,,,22.5,45.6,31.8,,,1.11,40.15,29.9,26.3,43.8,,145828000.0
Euro Area (19 countries),2017,EA19,36044100.0,73747600.0,52902000.0,436500.0,1289160.0,292462.0,,17989.0,,,,,,,,,0.56,0.27,,0.02,384168.0,182482.0,,13277.0,1739010.0,1.17,388126.0,0.26,,,24839.0,0.02,,,,,47.02,,53.45,22.09,,,,,,,1622700.0,59381500.0,,,,163130000.0,,,,,,,,,1.65,2208250.0,,,1126820.0,3317460.0,2.24,22.2,45.3,32.5,33.97,,1.1,40.15,30.6,25.8,43.6,,147915000.0
Euro Area (19 countries),2018,EA19,,,,,1387570.0,294138.0,,17884.0,,,,,,,,,,0.27,,,,184715.0,,,,,391160.0,0.26,,,,,,,,,47.22,,,,,,,,,,1634000.0,60381300.0,,,,,,,,,,,,,,2320240.0,,,,,,,,,,,1.09,40.28,31.5,25.1,43.4,,149903000.0
Euro Area (19 countries),2019,EA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673900.0,61610000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1,40.62,32.4,24.4,43.2,,151671000.0
